Reactive.Timestep;Time;Sum [kWh]
0;2010/7/1 0:00;0.026029661992705105
60;2010/7/1 1:00;0.017960210878019234
120;2010/7/1 2:00;0.03314709387604219
180;2010/7/1 3:00;0.010853512343660252
240;2010/7/1 4:00;0.034568124855645234
300;2010/7/1 5:00;0.018264098261043967
360;2010/7/1 6:00;0.11900348924294366
420;2010/7/1 7:00;0.1077044908623704
480;2010/7/1 8:00;0.011027619915117396
540;2010/7/1 9:00;0.03258124707473739
600;2010/7/1 10:00;0.032624810331020014
660;2010/7/1 11:00;0.018892607282982032
720;2010/7/1 12:00;0.025271000069626768
780;2010/7/1 13:00;0.05457893495126369
840;2010/7/1 14:00;0.10013837472703714
900;2010/7/1 15:00;0.06780607222176105
960;2010/7/1 16:00;0.08866432618999848
1020;2010/7/1 17:00;0.26667630815413323
1080;2010/7/1 18:00;0.3696876524207896
1140;2010/7/1 19:00;0.26218718983105427
1200;2010/7/1 20:00;0.09352776108470655
1260;2010/7/1 21:00;0.11130561887148711
1320;2010/7/1 22:00;0.11064877398071782
1380;2010/7/1 23:00;0.03972620968590828
1440;2010/7/2 0:00;0.026077127793754814
1500;2010/7/2 1:00;0.030900695532323785
1560;2010/7/2 2:00;0.01200239671589199
1620;2010/7/2 3:00;0.02998892348503496
1680;2010/7/2 4:00;0.06722951298879525
1740;2010/7/2 5:00;0.11436389958871065
1800;2010/7/2 6:00;0.07365886446819113
1860;2010/7/2 7:00;0.2714060667959553
1920;2010/7/2 8:00;0.10987263253358735
1980;2010/7/2 9:00;0.02507108508728003
2040;2010/7/2 10:00;0.016119098929362308
2100;2010/7/2 11:00;0.030930607287460114
2160;2010/7/2 12:00;0.07496072551761088
2220;2010/7/2 13:00;0.10117590418358033
2280;2010/7/2 14:00;0.09030982639053592
2340;2010/7/2 15:00;0.09826461790344529
2400;2010/7/2 16:00;0.09269210055346534
2460;2010/7/2 17:00;0.24342247029872993
2520;2010/7/2 18:00;0.10961779811639046
2580;2010/7/2 19:00;0.41025520323491926
2640;2010/7/2 20:00;0.15396585698406273
2700;2010/7/2 21:00;0.1194645589515072
2760;2010/7/2 22:00;0.024299243611147017
2820;2010/7/2 23:00;0.036132655583896695
2880;2010/7/3 0:00;0.010997661925181446
2940;2010/7/3 1:00;0.036799763522214084
3000;2010/7/3 2:00;0.010821432665674535
3060;2010/7/3 3:00;0.036398429122747676
3120;2010/7/3 4:00;0.053508105192621946
3180;2010/7/3 5:00;0.12300888197204321
3240;2010/7/3 6:00;0.4202261142917145
3300;2010/7/3 7:00;0.2686026462342864
3360;2010/7/3 8:00;0.11656694918525012
3420;2010/7/3 9:00;0.1266200724341873
3480;2010/7/3 10:00;0.6654410244279745
3540;2010/7/3 11:00;0.6778786193955777
3600;2010/7/3 12:00;0.06519567083146123
3660;2010/7/3 13:00;0.08291244639101304
3720;2010/7/3 14:00;0.07756567994946326
3780;2010/7/3 15:00;0.05276107955738654
3840;2010/7/3 16:00;0.10952479522936076
3900;2010/7/3 17:00;0.07945283096919113
3960;2010/7/3 18:00;0.24864290115744012
4020;2010/7/3 19:00;0.4067735279214595
4080;2010/7/3 20:00;0.14173143322010065
4140;2010/7/3 21:00;0.33566792673686247
4200;2010/7/3 22:00;0.06539980338457604
4260;2010/7/3 23:00;0.07837307504323246
4320;2010/7/4 0:00;0.010865091056227587
4380;2010/7/4 1:00;0.033084280316972164
4440;2010/7/4 2:00;0.024876539930289984
4500;2010/7/4 3:00;0.020374706042367328
4560;2010/7/4 4:00;0.03409885901840108
4620;2010/7/4 5:00;0.06280486043435339
4680;2010/7/4 6:00;0.10379089803176174
4740;2010/7/4 7:00;0.5692215190390796
4800;2010/7/4 8:00;0.13819681730836414
4860;2010/7/4 9:00;0.07212098866843972
4920;2010/7/4 10:00;0.041032755567345494
4980;2010/7/4 11:00;0.01744250308752342
5040;2010/7/4 12:00;0.3908925848861418
5100;2010/7/4 13:00;0.4653132981473305
5160;2010/7/4 14:00;0.16862495122348112
5220;2010/7/4 15:00;0.2550553899477879
5280;2010/7/4 16:00;0.13849245085334297
5340;2010/7/4 17:00;0.11190418657407715
5400;2010/7/4 18:00;0.11198195287605896
5460;2010/7/4 19:00;0.4376086648340859
5520;2010/7/4 20:00;0.34104106262648826
