Inner Device Heat Gains.Timestep;Time;Sum [kWh]
0;2010/7/1 0:00;0.051328937412466434
60;2010/7/1 1:00;0.04933632962874034
120;2010/7/1 2:00;0.0482457710379209
180;2010/7/1 3:00;0.12031071406156295
240;2010/7/1 4:00;0.09585888675828616
300;2010/7/1 5:00;0.04806346234302088
360;2010/7/1 6:00;1.4240563537859448
420;2010/7/1 7:00;1.5019113161677846
480;2010/7/1 8:00;0.5486171724058764
540;2010/7/1 9:00;0.3005348736864915
600;2010/7/1 10:00;0.04785142413472636
660;2010/7/1 11:00;0.04742851938218556
720;2010/7/1 12:00;0.06746619151706842
780;2010/7/1 13:00;0.1462606593132246
840;2010/7/1 14:00;0.19502503408079017
900;2010/7/1 15:00;0.07425644651704834
960;2010/7/1 16:00;0.33010473460287787
1020;2010/7/1 17:00;0.619118474172109
1080;2010/7/1 18:00;0.4830556770199625
1140;2010/7/1 19:00;0.9771239151015136
1200;2010/7/1 20:00;1.5474854618140899
1260;2010/7/1 21:00;0.6569642556353666
1320;2010/7/1 22:00;0.8680838112399677
1380;2010/7/1 23:00;0.07160011244302442
1440;2010/7/2 0:00;0.13390029978242313
1500;2010/7/2 1:00;0.0477003919183523
1560;2010/7/2 2:00;0.04800341434691599
1620;2010/7/2 3:00;0.04775527083857322
1680;2010/7/2 4:00;0.14301817054070365
1740;2010/7/2 5:00;0.0867468563266164
1800;2010/7/2 6:00;0.9705765020800567
1860;2010/7/2 7:00;1.2800801588840587
1920;2010/7/2 8:00;0.14539126997829396
1980;2010/7/2 9:00;0.06001605175284402
2040;2010/7/2 10:00;0.16382981497285926
2100;2010/7/2 11:00;0.0476286021885272
2160;2010/7/2 12:00;0.04749220623480028
2220;2010/7/2 13:00;0.05122536293376866
2280;2010/7/2 14:00;0.07333862755166609
2340;2010/7/2 15:00;0.21400084160609187
2400;2010/7/2 16:00;0.060987444130067035
2460;2010/7/2 17:00;0.04779368041625381
2520;2010/7/2 18:00;0.5616586054303634
2580;2010/7/2 19:00;0.7399564243994116
2640;2010/7/2 20:00;0.5448311633374341
2700;2010/7/2 21:00;0.4926815378750785
2760;2010/7/2 22:00;0.28951276455729696
2820;2010/7/2 23:00;0.05157056363839341
2880;2010/7/3 0:00;0.049562786552942335
2940;2010/7/3 1:00;0.09725623815582025
3000;2010/7/3 2:00;0.1237493852586398
3060;2010/7/3 3:00;0.04799195215172634
3120;2010/7/3 4:00;0.048385816970062216
3180;2010/7/3 5:00;0.047694508592023434
3240;2010/7/3 6:00;0.062162394807436155
3300;2010/7/3 7:00;1.9325789093905876
3360;2010/7/3 8:00;0.6709109202503298
3420;2010/7/3 9:00;1.7672653334027038
3480;2010/7/3 10:00;1.513526284817144
3540;2010/7/3 11:00;1.7833521072154384
3600;2010/7/3 12:00;0.6396966788916575
3660;2010/7/3 13:00;0.422163185468752
3720;2010/7/3 14:00;1.3979817897891937
3780;2010/7/3 15:00;1.9040284598208694
3840;2010/7/3 16:00;0.12259222046393829
3900;2010/7/3 17:00;0.19305535309422422
3960;2010/7/3 18:00;0.12553564537410147
4020;2010/7/3 19:00;0.4398777998426899
4080;2010/7/3 20:00;1.5674975956322033
4140;2010/7/3 21:00;0.6858112128955858
4200;2010/7/3 22:00;0.37683829011894077
4260;2010/7/3 23:00;0.04833818568378114
4320;2010/7/4 0:00;0.0478479466657228
4380;2010/7/4 1:00;0.047758002343513496
4440;2010/7/4 2:00;0.09227077019856335
4500;2010/7/4 3:00;0.12157355266679043
4560;2010/7/4 4:00;0.05056179362561514
4620;2010/7/4 5:00;0.048264313661647816
4680;2010/7/4 6:00;0.04838224767405532
4740;2010/7/4 7:00;1.4094322638967565
4800;2010/7/4 8:00;0.7363328588453757
4860;2010/7/4 9:00;1.7808657490846025
4920;2010/7/4 10:00;0.699695280942251
4980;2010/7/4 11:00;2.3289660660102474
5040;2010/7/4 12:00;0.28156651488457507
5100;2010/7/4 13:00;0.405410809393154
5160;2010/7/4 14:00;0.5825282365193681
5220;2010/7/4 15:00;0.49972154619415454
