Reactive.Timestep;Time;Sum [kWh]
0;2010/7/1 0:00;0.06606013608934849
60;2010/7/1 1:00;0.08690951102598043
120;2010/7/1 2:00;0.08677559114298009
180;2010/7/1 3:00;0.06291623396564362
240;2010/7/1 4:00;0.07362223407812529
300;2010/7/1 5:00;0.08820499616665702
360;2010/7/1 6:00;0.06647421533248539
420;2010/7/1 7:00;0.07842935257365741
480;2010/7/1 8:00;0.09203450919784043
540;2010/7/1 9:00;0.08263009268407157
600;2010/7/1 10:00;0.07085314239944149
660;2010/7/1 11:00;0.07623684834997344
720;2010/7/1 12:00;0.07666028746871333
780;2010/7/1 13:00;0.08923543267342891
840;2010/7/1 14:00;0.07670478064409231
900;2010/7/1 15:00;0.06591728787794662
960;2010/7/1 16:00;0.08060360073850646
1020;2010/7/1 17:00;0.14127616063766169
1080;2010/7/1 18:00;0.3373889390051523
1140;2010/7/1 19:00;0.4453481792913967
1200;2010/7/1 20:00;0.23280995878905053
1260;2010/7/1 21:00;0.1742216868571445
1320;2010/7/1 22:00;0.15583606917114565
1380;2010/7/1 23:00;0.10305834168213723
1440;2010/7/2 0:00;0.08658624304862281
1500;2010/7/2 1:00;0.06501996170320834
1560;2010/7/2 2:00;0.07461249336195777
1620;2010/7/2 3:00;0.07420517866798836
1680;2010/7/2 4:00;0.07944228115987473
1740;2010/7/2 5:00;0.07201044295057182
1800;2010/7/2 6:00;0.07653527992642434
1860;2010/7/2 7:00;0.07876949625715614
1920;2010/7/2 8:00;0.06904450852866507
1980;2010/7/2 9:00;0.06963335962245859
2040;2010/7/2 10:00;0.0757765659087878
2100;2010/7/2 11:00;0.07888823378766509
2160;2010/7/2 12:00;0.09151066585586468
2220;2010/7/2 13:00;0.075951135759024
2280;2010/7/2 14:00;0.07342391775873373
2340;2010/7/2 15:00;0.06124128782477841
2400;2010/7/2 16:00;0.09061509623859679
2460;2010/7/2 17:00;0.06588853338369893
2520;2010/7/2 18:00;0.08312296483298119
2580;2010/7/2 19:00;0.23522450817827448
2640;2010/7/2 20:00;0.17045359789366823
2700;2010/7/2 21:00;0.18525563737059506
2760;2010/7/2 22:00;0.17434674995990518
2820;2010/7/2 23:00;0.07046965475591782
2880;2010/7/3 0:00;0.06654056455091045
2940;2010/7/3 1:00;0.09627623851807467
3000;2010/7/3 2:00;0.05257686626227963
3060;2010/7/3 3:00;0.10577083398918066
3120;2010/7/3 4:00;0.06422727987757135
3180;2010/7/3 5:00;0.08712802469157742
3240;2010/7/3 6:00;0.05833552784567951
3300;2010/7/3 7:00;0.06535928710627177
3360;2010/7/3 8:00;0.09572807877943498
3420;2010/7/3 9:00;0.10791627200355487
3480;2010/7/3 10:00;0.3924812034017983
3540;2010/7/3 11:00;0.23167755851176397
3600;2010/7/3 12:00;0.16775976487598498
3660;2010/7/3 13:00;0.07142523157600988
3720;2010/7/3 14:00;0.069518576807278
3780;2010/7/3 15:00;0.07343932004281799
3840;2010/7/3 16:00;0.0835703337861707
3900;2010/7/3 17:00;0.1492986463111784
3960;2010/7/3 18:00;0.09457046777749721
4020;2010/7/3 19:00;0.16520733614244285
4080;2010/7/3 20:00;0.0998914511243423
4140;2010/7/3 21:00;0.18535526383085968
4200;2010/7/3 22:00;0.08015390170695558
4260;2010/7/3 23:00;0.08267924441416538
4320;2010/7/4 0:00;0.07339351723879425
4380;2010/7/4 1:00;0.08354746206224618
4440;2010/7/4 2:00;0.07519653973715518
4500;2010/7/4 3:00;0.06794796406351641
4560;2010/7/4 4:00;0.06983507999636318
4620;2010/7/4 5:00;0.08542166367693603
4680;2010/7/4 6:00;0.08717284954048846
4740;2010/7/4 7:00;0.07098232109280533
4800;2010/7/4 8:00;0.1049799247432446
4860;2010/7/4 9:00;0.19487325099875402
4920;2010/7/4 10:00;0.13854524893348363
4980;2010/7/4 11:00;0.381578272542027
5040;2010/7/4 12:00;0.1019986671340139
5100;2010/7/4 13:00;0.12961401792684935
5160;2010/7/4 14:00;0.4088304523055221
5220;2010/7/4 15:00;0.0766330523294857
5280;2010/7/4 16:00;0.06786858035260813
5340;2010/7/4 17:00;0.07445295962367277
5400;2010/7/4 18:00;0.08768253542794699
5460;2010/7/4 19:00;0.06458956073195182
5520;2010/7/4 20:00;0.3273455710810959
5580;2010/7/4 21:00;0.21823356282288986
5640;2010/7/4 22:00;0.11614842280447439
5700;2010/7/4 23:00;0.06213347105461588
5760;2010/7/5 0:00;0.07199585056025849
5820;2010/7/5 1:00;0.08957900215718209
5880;2010/7/5 2:00;0.08086178210449334
5940;2010/7/5 3:00;0.07592361136736234
6000;2010/7/5 4:00;0.07580919128395078
6060;2010/7/5 5:00;0.07173530467261492
6120;2010/7/5 6:00;0.07554239512138314
6180;2010/7/5 7:00;0.08086338558918058
6240;2010/7/5 8:00;0.08455147480652145
